"V1","V2","V3","V4"
"Danish","Dutch","German",2
"Danish","German","Old English",1
"Dutch","German","Old English",2
"Dutch","Middle Dutch","Old English",1
"French","Ga","Old French",1
"French","German","Latin",1
"French","Greek","Latin",27
"French","Italian","Latin",9
"French","Latin","Middle English",4
"French","Latin","Old French",268
"French","Middle English","Old French",5
"German","Germanic","Old English",7
"German","Greek","Latin",1
"German","Middle English","Old English",2
"Gothic","Middle English","Old English",2
"Greek","Latin","Russian",16
"Latin","Middle English","Old English",1
